inclusion nb ; Z rotation ; theta ; phi ; rotMat11 ; rotMat12 ; rotMat13 ; rotMat21 ; rotMat22 ; rotMat23 ; rotMat31 ; rotMat32 ; rotMat33
28  ;  0 ; 90.7754 ; 175.558 ; 0.0134915 ; -0.0774517 ; -0.996905 ; -0.00104809 ; -0.996996 ; 0.0774446 ; -0.999908 ; 0 ; -0.0135322
28  ;  0 ; 90.7754 ; 175.558 ; 0.0134915 ; -0.0774517 ; -0.996905 ; -0.00104809 ; -0.996996 ; 0.0774446 ; -0.999908 ; 0 ; -0.0135322
29  ;  0 ; 60.0178 ; 45.2178 ; 0.352018 ; -0.70979 ; 0.610149 ; 0.354704 ; 0.704414 ; 0.614806 ; -0.86618 ; 0 ; 0.499732
29  ;  0 ; 60.0178 ; 45.2178 ; 0.352018 ; -0.70979 ; 0.610149 ; 0.354704 ; 0.704414 ; 0.614806 ; -0.86618 ; 0 ; 0.499732
29  ;  0 ; 60.0178 ; 45.2178 ; 0.352018 ; -0.70979 ; 0.610149 ; 0.354704 ; 0.704414 ; 0.614806 ; -0.86618 ; 0 ; 0.499732
29  ;  0 ; 60.0178 ; 45.2178 ; 0.352018 ; -0.70979 ; 0.610149 ; 0.354704 ; 0.704414 ; 0.614806 ; -0.86618 ; 0 ; 0.499732
29  ;  0 ; 60.0178 ; 45.2178 ; 0.352018 ; -0.70979 ; 0.610149 ; 0.354704 ; 0.704414 ; 0.614806 ; -0.86618 ; 0 ; 0.499732
30  ;  0 ; 83.5163 ; 171.93 ; -0.111801 ; -0.140385 ; -0.983764 ; 0.0158523 ; -0.990097 ; 0.139487 ; -0.993604 ; 0 ; 0.11292
30  ;  0 ; 83.5163 ; 171.93 ; -0.111801 ; -0.140385 ; -0.983764 ; 0.0158523 ; -0.990097 ; 0.139487 ; -0.993604 ; 0 ; 0.11292
30  ;  0 ; 83.5163 ; 171.93 ; -0.111801 ; -0.140385 ; -0.983764 ; 0.0158523 ; -0.990097 ; 0.139487 ; -0.993604 ; 0 ; 0.11292
